id,translation
1,"глаз, око (устар.)"
2,описа́ть
3,опера
4,никто
5,"тяжелый, увесистый"
6,"большой, крупный, великий"
7,"осуждать, приговаривать"
8,"откуда-то ещё, из другого места"
10,свинец
11,отрекаться
12,трава
13,"основывать, учреждать"
14,оценить
15,отсутствие
16,желудок
17,"разменять, обменять"
18,астрономия
20,"обеспечивать, поставлять"
22,толпа
24,заполнять
25,зарегистрироваться
26,ротация
27,"различие, разница, отличие"
28,жить
29,"временный, временной"
30,"крайне, чрезвычайно"
31,программа
32,атака
33,"художник, артист"
34,арсенал
35,электростанция
36,"размер, величина"
37,"отменять, аннулировать"
38,эрцгерцог
39,"апелляция, обращение"
40,голова
41,разочарование
43,активный
44,пятка
45,алфавит
46,протест
47,категория
48,профессор
49,"тянуть, тащить, влечь"
50,седьмой
51,глубина
52,американский
53,электричество
54,оттуда
55,рационализация
56,диалог
58,голосовать
59,Альпы
60,апеллировать
61,сотый
62,авиация
64,авиалиния
65,входить
66,узкий
67,спинной мозг
68,верхнелужицкий
69,"собирать, накапливать"
70,Австралия
71,послушать
72,сдержать
73,"они (муж. род, смешанный род)"
74,коза
75,Австрия
76,Азербайджан
78,венгерский
79,дешёвый
80,критик
81,коллапс
82,автобус
83,"автомагистраль, автострада, шоссе"
86,воспротивиться
87,автор
88,религиозный
89,хлеб
90,хлев
91,"жрать, пожирать, есть с жадностью"
92,Азия
93,ежедневный
94,"полотно, ткань, холст"
95,"долг, обязанность, обязательство"
96,администратор
97,адвокат
98,иммигрант
99,аэропорт
100,"полезный, вспомогательный"
101,красный
103,"прибрежный, береговой"
106,африканский
107,альянс
108,восемнадцать
110,"гнёт, угнетение"
111,"акцептовать, принимать"
112,поцеловать
113,агентство
114,уже
115,акция (ценная бумага)
116,"титька, сиська"
118,овраг
119,"акт, поступок"
120,"когда-либо, когда-нибудь"
121,"подтвердить, удостоверить"
122,арестовать
123,армия
124,преступник
125,"договор, контракт, соглашение"
127,посольство
128,"разместить, расположить"
129,Югославия
130,большой палец
131,Америка
132,"отклонить, отвергнуть, отбросить"
133,албанец
134,но
136,американец
137,часто
138,кризис
139,процитировать
140,фол
141,писать
142,албанский
143,кого
144,оценивать
145,сербский
146,"окись, оксид"
148,сувенир
149,роза
150,аппетит
151,обновлять
152,"Кыргызстан, Киргизия"
153,балкон
154,барокко
155,"кто-то другой, кто-то ещё"
156,база (военная)
157,хлопок
158,покрывать
159,барьер
160,"существование, бытие, наличие"
161,"результат, последствие"
162,брутальность
163,мебель
164,меч
165,собор
166,сегодня
167,"мальчик, юноша, отрок"
169,саммит
170,секунда
171,радио
172,ракета
173,"огласить, объявить"
174,радикальный
175,провокационный
176,кашубский
177,"бесшумный, тихий"
178,беспрецедентный
179,беженец
180,взрослый
181,"уйти, отойти, отъехать, отступить"
185,нижнелужицкий
187,"деревня, село"
188,Ирландия
190,"чей-то, че-либо, чей-нибудь, чей угодно"
192,близнец
193,блокировать
195,ночь
196,широкий
198,музыка
199,"поверить, уверовать"
200,"уверить, убедить"
201,больница
202,больной
203,махнуть
204,материал
205,либеральный
206,идеал
207,борьба
208,бомба
209,ингуш
211,"делать, выполнять, действовать"
212,"богатый, состоятельный"
213,за́мок
214,"бренд, марка"
215,"труд, работа, усилия"
216,декларация
217,чем
218,берёза
219,брат
220,Мальта
221,борозда
223,"сарай, будка"
224,будущее
226,"повстанец, бунтарь"
227,функционировать
228,"через, сквозь, поперёк"
229,ангел
233,авизо (извещение)
234,окружать
235,миллион
236,пешеход
237,петь
238,пробовать
239,стиль
240,куб
241,обновить
242,обогащать
243,"всячески, как угодно, всяко"
244,"куда, каким путём, в какую сторону"
245,курсив
246,"шлюха, блудница, проститутка"
247,кусок
248,адрес
249,угол
250,"страшный, ужасный, пугающий"
251,"зоологический парк, зоопарк"
253,лаять
254,куколь (съедобный моллюск)
255,еврейский
256,Ангола
257,готовить
258,купить
261,падеж (грам.)
262,террористический
263,шёлк
264,май
265,курорт
266,ломать
267,льстить
268,ласка (животное)
269,зал
270,(тот) самый
272,директор
274,триста
275,дипломат
276,десна
277,убийца
278,"печать, штамп"
279,убийство
280,возможный
281,"пополудни, после обеда"
282,яблоко
283,колонизировать
284,духовный
286,сеть
287,"водитель, шофёр"
288,дефис
289,деформировать
290,"инженерия, инженерство"
291,официальный
292,радуга
293,"испугать, напугать"
295,лексикон
296,благодарить
297,"задержать, арестовать"
298,"ребёнок, дитя, дети (мн.), ребята (мн.)"
299,деверь
300,"девочка, девушка, девица"
301,"дискутировать, обсуждать"
302,христианин
303,икра (рыбья)
304,дистрибьюция
305,"дьякон, диакон"
306,лён
307,"что-то ещё, что-то другое"
308,левый
309,-летие
310,молоток
311,добавить
312,"шут, безумец"
314,восемь
316,"дерьмо, говно, экскременты, кал"
317,Ливия
318,кроме
319,лимитировать
320,ответственный
321,лидер
322,"кто-нибудь, кто-либо, кто угодно"
323,аист
324,"разменивать, обменивать"
327,"лиса, лисица"
328,весна
329,лысый
330,организатор
331,Литва
332,"литургический, богослужебный"
333,ливень
334,лизать
335,"лишай, герпес"
337,себе
338,"лить, наливать"
339,луч
340,литература
341,кал
342,липа
343,литовский
344,тёплый
345,червь
347,"искушать, соблазнять, прельщать"
348,черногорский
349,черногорец
350,"пан, господин"
351,приучить
352,охота
353,ложка
355,оппозиция
356,любить
358,корабль
359,венгр
360,кий
361,протестант
362,против
363,логичный
364,"согласно, в соответствии с"
366,колени
367,лопата
368,тонна
370,Румыния
371,экспортировать
372,знать
373,политический
374,лук (оружие)
375,"излучать, испускать лучи, светить"
376,луг
379,мачеха
380,пламя
382,"дипломатический, дипломатичный"
383,обезьяна
384,болото
385,локоть
386,лось
388,пиявка
389,уметь
390,"по меньшей мере, по крайней мере, как минимум"
391,"меньший, меньше"
392,утро
393,"утверждать (документ, решение), санкционировать, ратифицировать"
394,железная дорога
395,железо
396,медсестра
397,бросить
398,депортировать
400,рог
401,гореть
402,"подлый, бесчестный, низкий"
403,мех
404,мирный
405,минарет
406,"кидать, бросать"
407,"лекарство, медикамент, препарат"
408,Испания
409,высокий
410,туберкулёз
411,"потребовать, запросить"
412,"больший, больше"
413,фермер
414,"позволить, разрешить, допустить"
415,"оборотень, волколак"
416,тесный
417,"долженствовать, должен"
418,фильм
419,дорога
421,цель
422,способность
423,"достаточно, хватит"
425,"смех, хохот"
426,песок
427,железа
428,"знаменитый, известный, прославленный"
429,гусеница
430,проект
431,паук
432,"дорогой, милый"
434,"дух, призрак"
435,"позволять, разрешать, допускать"
436,"царапать, скрести"
438,пьяный
439,третий
440,"кардинальный, радикальный, резкий"
442,"царапнуть, поскрести"
443,осень
444,"удовлетворять, радовать, нравиться"
446,слива
447,сладкий
448,"лужа, озеро"
449,"вздремнуть, подремать"
450,"освобождать, вызволять"
451,дуб
452,Кипр
453,"подорвать, подкопать"
454,сова
455,"сжечь, спалить"
456,волк
457,два
458,двадцать
459,телохранитель
460,сигарета
461,"спокойно, тихо"
463,"спокойный, тихий, безмятежный, мирный"
464,вдова
465,"досюда, до сих пор, до сего времени"
466,остаться
467,взять
468,двигать
469,двигаться
471,двинуть
472,двое
473,сосок
474,пятница
475,жбан
476,двойной
477,известный
479,"срать, испражняться"
480,эффективный
481,тронуть
482,исключить
484,"достоинство, сан"
485,объект
486,"эскортировать, сопровождать"
487,"косвенный, опосредованный"
488,Эстония
489,раз
490,фабрика
491,ошибка
492,горло
493,бандит
494,молиться
495,"снимать фильм, экранизировать"
496,философия
497,качественный
498,локон
499,молодой
500,"отплата, награда, вознаграждение"
501,предшествовать
502,лапа
505,"оставлять, бросать, покинуть"
506,бумага
507,Джорджия
508,крот
510,чеснок
511,"синий, голубой"
512,его (притяжат.)
513,мясо
514,"слоган, лозунг, девиз"
515,мягкий
516,"возить, перевозить, транспортировать"
517,"ранний, прежний"
518,"к, ко, в направлении"
519,"чан, кадка"
520,чёрный
521,"инфинитив, неопределённая форма глагола"
522,похвалить
523,"крыша, кров"
524,компенсировать
526,"удовлетворённый, довольный, рад"
527,ястреб
528,"трахать, ебать (вульг.)"
529,территориальный
530,ковать
531,один
532,"друг друга, один другого"
533,одиннадцать
534,"явиться, появиться, показаться"
535,"кончать, оканчивать, заканчивать, завершать"
536,конец
537,"корабль, судно"
538,крапива
539,оранжевый
540,ездить
541,язык
542,азиатский
543,парадокс
544,"холм, пригорок"
545,язык (анат.)
547,прощать
548,слеза
550,коалиция
551,"языковед, лингвист"
552,китайский
553,"Южно-Африканская Республика, ЮАР"
554,вопрос
555,восток
556,воздержаться
557,воск
558,вывести
559,королевство
560,солнце
561,эмоциональный
562,взаимодействие
563,вооружённый
564,"специально, особенно"
565,"смеркнуться, потемнеть"
566,сотрудничать
568,комментировать
569,"править, властвовать"
570,помнить
571,захватить
573,"пердеть, пукать"
574,"трясти, качать, шатать"
576,здоровье
577,стабильный
578,насилие
579,"влезть, взобраться"
580,"побуждать, возбуждать, стимулировать"
581,планета
582,"чистый, непорочный"
583,договор (межгосударственный)
584,"чиновник, должностное лицо"
585,"померанский, поморский"
586,совесть
587,расширять
589,жест
590,число (грамматическое)
591,сербско-хорватский
592,человек
593,"быть, являться, иметься"
594,"измученный, утомлённый, уставший"
595,"разделить, отделить"
596,украинец
597,"выполнить, исполнить"
598,"статья, параграф"
599,членство
600,человечество
601,шмель
602,предлагать
603,изобретатель
604,"каприз, прихоть"
606,"боснийский, босанский"
608,"чудовище, монстр"
610,"чуждый, инородный, иностранный"
611,"чувствовать, ощущать"
612,"далёкий, дальний"
613,"от, с"
614,"поверх, сверху"
615,"пёстрый, разнообразный"
616,"уважать, почитать"
617,"печальный, грустный"
618,словинский
619,"черпать, зачерпывать"
620,блаженный
621,"при, рядом с"
622,"оскорблять, обижать"
623,демонстративный
624,"болото, топь"
625,"так много, столько"
626,"зрелость, взрослость"
627,"красть, воровать"
628,овца
631,"кара, наказание, штраф"
632,шанс
633,"извинять, прощать"
634,"извинить, простить"
635,"мощь, сила"
636,четвертый
637,бизнес
638,четверг
639,мёд
640,"член, участник"
641,"зал, комната, камера"
642,избежать
643,итальянский
644,из
645,мотыга
646,мотивация
647,"сократить, укоротить"
649,корыто
650,планировать
652,посвятить
655,"согласовать, обговорить, установить"
656,Северное море
657,"разум, ум, интеллект"
658,"торс, туловище"
659,пешком
661,справедливый
662,популярный
664,дать
665,требовать
666,виза
668,"кусать, грызть"
669,женский род
670,"стопить, сплавить (вместе)"
671,город
673,гриб
674,грива
675,ты
676,горностай
678,"присяга, клятва"
679,"сравнивать, сопоставлять"
680,валовой национальный продукт
681,сделать
682,выражать
683,дуть
684,ольха
685,"опять, снова, вновь"
686,описывать
