id,translation
1,oko
2,popsat
3,opera
4,nikdo
5,"těžký, silný, hustý"
6,velký
7,odsuzovat
8,odjinud
10,olovo
11,abdikovat
12,tráva
13,"zakládat, ustanovovat, stanovit"
14,"ocenit, ohodnotit"
15,"absence, nepřítomnost"
16,žaludek
17,rozměnit
18,astronomie
20,poskytovat
22,"dav, zástup, nával, tlačenice"
24,vyplňovat
25,zaregistrovat
26,rotace
27,rozdíl
28,"žít, být živý"
29,dočasný
30,"krajně, velmi"
31,program
32,útok
33,umělec
34,"arzenál, zbrojnice"
35,elektrárna
36,"velikost, rozměr"
37,"zrušit, anulovat"
38,arcivévoda
39,"odvolání, apelace"
40,hlava
41,"rozčarování, zklamání, frustrace"
43,aktivní
44,pata
45,"alfabeta, abeceda"
46,protest
47,kategorie
48,profesor
49,táhnout
50,sedmý
51,hloubka
52,americký
53,elektřina
54,odtud
55,racionalizace
56,dialog
58,hlasovat
59,Alpy
60,"apelovat, odvolávat se"
61,stý
62,letectví
64,"letecká společnost, aerolinie, aerolinky"
65,vcházet
66,úzký
67,mícha
68,hornolužický
69,shromáždit
70,Austrálie
71,poslouchat
72,zadržet
73,oni (mužský nebo smíšený)
74,koza
75,Rakousko
76,Ázerbájdžán
78,maďarský
79,levný
80,kritik
81,kolaps
82,autobus
83,"dálnice, autostráda, magistrála"
86,"odporovat, vzdorovat, čelit, oponovat, postavit se proti"
87,autor
88,"náboženský, religiózní"
89,chléb
90,"chlév, chlívek"
91,"žrát, hltat"
92,Asie
93,každodenní
94,"plátno, látka"
95,"závazek, povinnost"
96,"správce, administrátor"
97,"advokát, právník"
98,imigrant
99,letiště
100,"pomocný, užitečný"
101,"červený, rudý"
103,pobřežní
106,africký
107,"aliance, spojenectví, svaz"
108,osmnáct
110,útlak
111,"akceptovat, přijímat"
112,políbit
113,"agentura, kancelář"
114,"již, už"
115,akcie (cenný papír)
116,cecek
118,rokle
119,"akt, čin, skutek, jednání, úkon"
120,"někdy, kdykoliv"
121,"potvrdit, dosvědčit"
122,"zatknout, arestovat"
123,"armáda, vojsko"
124,zločinec
125,"smlouva, dohoda, kontrakt, domluva"
127,"velvyslanectví, ambasáda"
128,"rozmístit, umístit"
129,Jugoslávie
130,palec
131,Amerika
132,"odmítnout, zamítnout, zavrhnout"
133,Albánec
134,ale
136,Američan
137,často
138,krize
139,citovat
140,faul
141,psát
142,albánský
143,koho
144,"oceňovat, ohodnocovat"
145,srbský
146,"oxid, kysličník"
148,"suvenýr, památka, upomínka"
149,růže
150,"chuť k jídlu, apetit"
151,"obnovovat, renovovat"
152,Kyrgyzstán
153,balkón
154,baroko
155,někdo jiný
156,"základna (vojenská), báze"
157,bavlna
158,pokrývat
159,bariéra
160,"bytí, existence"
161,následek
162,"brutalita, brutálnost"
163,nábytek
164,meč
165,katedrála
166,dnes
167,"mladík, chlapec"
169,summit
170,"vteřina, sekunda"
171,rádio
172,raketa
173,"ohlásit, oznámit"
174,radikální
175,provokatérský
176,kašubský
177,"tichý, klidný, bez šumu"
178,bezprecedentní
179,"uprchlík, běženec"
180,"dospělý, zletilý"
181,odejít
185,dolnolužický
187,vesnice
188,Irsko
190,"něčí, číkoliv"
192,"dvojče, blíženec"
193,"blokovat, zatarasit"
195,noc
196,široký
198,hudba
199,uvěřit
200,"ujistit se, přesvědčit se"
201,nemocnice
202,"nemocný, chorý"
203,máchnout
204,materiál
205,liberální
206,ideál
207,zápas
208,bomba
209,Inguš
211,dělat
212,"bohatý, zámožný"
213,"zámek, hrad"
214,značka
215,"práce, dřina, úsilí"
216,"deklarace, prohlášení"
217,než
218,bříza
219,bratr
220,Malta
221,brázda
223,bouda
224,budoucnost
226,"vzbouřenec, rebel"
227,"fungovat, působit"
228,přes
229,anděl
233,"avízo, zpráva"
234,"obklopovat, obličovat"
235,milion
236,"pěší, chodec"
237,"zpívat, pět"
238,"zkoušet,  ochutnávat"
239,styl
240,"kostka, krychle"
241,"obnovit, renovovat"
242,obohacovat
243,"všelijak, jakkoli"
244,kudy
245,kurzíva
246,kurva
247,kousek
248,adresa
249,"kout, roh"
250,"strašný, hrozný, děsivý"
251,"zoologická zahrada, zoo"
253,štěkat
254,koukol
255,židovský
256,Angola
257,"připravit, zhotovovat"
258,koupit
261,pád (gramat.)
262,teroristický
263,hedvábí
264,květen
265,lázně
266,lámat
267,"lichotit, pochlebovat"
268,"lasice, lasička"
269,"sál, síň, hala"
270,"samý, týž, stejný"
272,ředitel
274,tři sta
275,diplomat
276,dáseň
277,vrah
278,"razítko, pečeť"
279,vražda
280,"možný, případný"
281,odpoledne
282,jablko
283,kolonizovat
284,duchovní
286,síť
287,"řidič, šofér"
288,"pomlčka, čárka (spojovací či rozdělovací)"
289,deformovat
290,inženýrství
291,oficiální
292,duha
293,"postrašit, vystrašit, vyděsit"
295,lexikon
296,děkovat
297,"zadržet, zatknout"
298,"dítě, děcko"
299,švagr
300,děvče
301,diskutovat
302,křesťan
303,"jikra, potěr"
304,distribuce
305,"jáhen, diákon"
306,len
307,něco jiného
308,levý
309,-letí
310,kladívko
311,"přidat, dodat"
312,"blázen, šašek"
314,osm
316,"hovno, lejno"
317,Libye
318,kromě
319,limitovat
320,zodpovědný
321,"vůdce, lídr"
322,"někdo, kdokoliv"
323,čáp
324,rozměňovat
327,liška (zvíře)
328,"jaro, vesna"
329,"plešatý, lysý"
330,"pořadatel, organizátor"
331,Litva
332,liturgický
333,liják
334,lízat
